timestamp,user_id,success,reason,context
2025-12-11 05:15:49.817302,USER-0005,True,Authentication successful,{}
2025-12-11 05:15:49.817348,USER-0009,True,Authentication successful,{}
2025-12-11 05:15:49.817376,USER-0047,True,Authentication successful,{}
2025-12-11 05:15:49.817391,USER-0041,True,Authentication successful,"{'device_id': 'DEV-0009', 'location': 'hybrid', 'ip_address': '136.22.39.206', 'timestamp': datetime.datetime(2025, 12, 11, 5, 28, 56)}"
2025-12-11 05:15:49.817401,USER-0026,True,Authentication successful,{}
2025-12-11 05:15:49.817412,USER-0006,True,Authentication successful,{}
2025-12-11 05:15:49.817435,USER-0037,True,Authentication successful,"{'device_id': 'DEV-0053', 'location': 'remote', 'ip_address': '183.117.69.161', 'timestamp': datetime.datetime(2025, 12, 11, 7, 42, 25)}"
2025-12-11 05:15:49.817443,USER-0041,True,Authentication successful,"{'device_id': 'DEV-0033', 'location': 'hybrid', 'ip_address': '208.96.59.203', 'timestamp': datetime.datetime(2025, 12, 11, 7, 53, 12)}"
2025-12-11 05:15:49.817448,USER-0023,True,Authentication successful,"{'device_id': 'DEV-0004', 'location': 'office', 'ip_address': '189.175.202.62', 'timestamp': datetime.datetime(2025, 12, 11, 8, 19, 33)}"
2025-12-11 05:15:49.817453,USER-0022,False,Invalid credentials,{}
2025-12-11 05:15:49.817457,USER-0023,True,Authentication successful,"{'device_id': 'DEV-0004', 'location': 'office', 'ip_address': '185.202.176.70', 'timestamp': datetime.datetime(2025, 12, 11, 9, 45, 29)}"
2025-12-11 05:15:49.817463,USER-0021,True,Authentication successful,{}
2025-12-11 05:15:49.817474,USER-0034,True,Authentication successful,{}
2025-12-11 05:15:49.817482,USER-0029,True,Authentication successful,"{'device_id': 'DEV-0044', 'location': 'remote', 'ip_address': '202.13.80.134', 'timestamp': datetime.datetime(2025, 12, 11, 10, 33, 15)}"
2025-12-11 05:15:49.817488,USER-0020,True,Authentication successful,{}
2025-12-11 05:15:49.817495,USER-0007,True,Authentication successful,{}
2025-12-11 05:15:49.817508,USER-0016,True,Authentication successful,{}
